condition_index,condition_name,run_id,seed,structure,leader_style,population_size,max_iterations,adaptive_intimacy,use_rl_leader,num_interventions,final_avg_member_emotion,final_min_member_emotion,final_max_member_emotion,mean_rl_reward,mean_rl_quality
9,,168,7,community,Low_Fully_Constrained,11,235,True,True,17,-0.6985978896157057,-1.0,-0.15428006920895637,-0.002337253341030351,-0.4984490595985279
9,,169,8,community,Low_Fully_Constrained,11,235,True,True,0,-0.0010670862664512288,-0.0024864173676653976,-0.0006276412569497484,0.0012230862283721094,-0.05245904597324894
9,,170,9,community,Low_Fully_Constrained,11,235,True,True,0,-0.6550347092774442,-1.0,-0.17149168814450388,-0.001884972548287726,-0.6605218212755124
9,,171,10,community,Low_Fully_Constrained,11,235,True,True,194,-0.8675360868049322,-1.0,-0.5506576671537091,-0.0030113989902037525,-0.8270015597108852
9,,172,11,community,Low_Fully_Constrained,11,235,True,True,0,-0.0330152039604873,-0.07085424858428672,-0.011690101675823593,0.0009888421619421613,-0.0669081811543242
9,,173,12,community,Low_Fully_Constrained,11,235,True,True,185,-0.7903346850749584,-0.9994412085583685,-0.23202549766715824,-0.0023387998966527285,-0.7533732528685975
9,,174,13,community,Low_Fully_Constrained,11,235,True,True,23,-0.7001903885924452,-1.0,-0.16291469524510796,-0.0021311674157119707,-0.6751390042977247
9,,175,14,community,Low_Fully_Constrained,11,235,True,True,190,-0.899593302283199,-0.9962597411573964,-0.6928214697634524,-0.0031265145261467797,-0.7966756045831161
9,,176,15,community,Low_Fully_Constrained,11,235,True,True,155,-0.7509729391523944,-0.9985647072006963,-0.08250553195444561,-0.0023684893708062647,-0.7467052823091644
9,,177,16,community,Low_Fully_Constrained,11,235,True,True,156,-0.7079086202801045,-0.9960743752315048,-0.19245597670414902,-0.0022548635377509655,-0.6815415423201808
9,,178,17,community,Low_Fully_Constrained,11,235,True,True,0,-0.07089392416449361,-0.10792815370631047,-0.0191486896262131,0.0007074714715732838,-0.20834110548871818
9,,179,18,community,Low_Fully_Constrained,11,235,True,True,0,-6.26762739679872e-06,-1.2269686453912827e-05,-6.037779504750544e-07,0.000969711300240217,-0.018345670366672905
9,,180,19,community,Low_Fully_Constrained,11,235,True,True,0,-0.02000973135376343,-0.03534597482225017,-0.008275658270427812,0.0008049618902012158,-0.0627169351944216
10,,181,0,community,High_Initially_Constrained,11,235,True,True,192,-0.6677618674656725,-0.9989547902269923,-0.14605543497300474,-0.0020810481839666187,-0.6397398205372123
